term,term_label,estimate,hc3_standard_error,ci_95_low,ci_95_high,t_value,df,p_value,domain,domain_label,model
delta_loneliness,Change in loneliness,-0.0141490801495,0.00575559010622,-0.025432734653,-0.00286542564601,-2.45831963159,4701,0.0139946985631,children,Children,Model 2
contact_increased,Increased contact vs maintained frequent,0.0115845567883,0.00744078757156,-0.00300287467257,0.0261719882492,1.55689927671,4701,0.119561715903,children,Children,Model 2
contact_decreased,Decreased contact vs maintained frequent,-0.00191613349314,0.00723138698466,-0.0160930416485,0.0122607746622,-0.264974547373,4701,0.791040686738,children,Children,Model 2
contact_maintained_infrequent,Maintained infrequent vs maintained frequent,0.00329938694441,0.00586333018927,-0.00819548862433,0.0147942625131,0.56271552819,4701,0.573655441997,children,Children,Model 2
delta_x_increased,Loneliness change x increased contact,0.0245381755432,0.0183843208348,-0.0115037108235,0.0605800619099,1.33473386173,4701,0.182028105214,children,Children,Model 2
delta_x_decreased,Loneliness change x decreased contact,0.0337570717634,0.0157844169749,0.00281221565005,0.0647019278767,2.13863279315,4701,0.0325168091038,children,Children,Model 2
delta_x_maintained_infrequent,Loneliness change x maintained infrequent,0.00313269983946,0.0141850615508,-0.0246766699551,0.030942069634,0.220844994451,4701,0.825222718739,children,Children,Model 2
age_T2_centered,Age at T2 (per year; centered at 75),-0.00922435221908,0.000321688629955,-0.00985501272324,-0.00859369171493,-28.6747847457,4701,8.60348746375e-167,children,Children,Model 2
male,Male vs Female,0.0139903844215,0.00377840899982,0.00658293167726,0.0213978371657,3.70271837224,4701,0.000215747136769,children,Children,Model 2
education,Education (years),-0.00240542149693,0.000682323351115,-0.00374309509973,-0.00106774789412,-3.52533955198,4701,0.000426972233602,children,Children,Model 2
race_black,Black/African American non-Hispanic vs White non-Hispanic,0.0181890199829,0.00621685559863,0.0060010688991,0.0303769710667,2.92575880111,4701,0.00345262088006,children,Children,Model 2
race_hispanic,Hispanic vs White non-Hispanic,0.0142451306222,0.00780637444741,-0.00105902248179,0.0295492837262,1.82480749779,4701,0.0680935170533,children,Children,Model 2
race_other,Other non-Hispanic vs White non-Hispanic,0.0425101898876,0.0157143159173,0.0117027647068,0.0733176150685,2.70518870255,4701,0.00685117296096,children,Children,Model 2
Intercept,Intercept,-0.237280652992,0.0131578715699,-0.263076256008,-0.211485049975,-18.0333613784,4696,2.39948518797e-70,children,Children,Model 3
cog_T2,Cognition at T2,1.07671482747,0.00333798490187,1.07017081061,1.08325884433,322.56431923,4696,0,children,Children,Model 3
ucla3_T1,Loneliness at T1,-0.00154756004055,0.00470817852028,-0.0107777993992,0.00768267931815,-0.328696126089,4696,0.742400039177,children,Children,Model 3
delta_loneliness,Change in loneliness,-0.0170209218977,0.00579202865434,-0.0283760161495,-0.00566582764594,-2.9386805407,4696,0.003312176765,children,Children,Model 3
contact_increased,Increased contact vs maintained frequent,0.0121087475756,0.00742479229994,-0.00244732964662,0.0266648247977,1.63085337426,4696,0.102988321118,children,Children,Model 3
contact_decreased,Decreased contact vs maintained frequent,-0.00105912433719,0.00721245827771,-0.0151989272315,0.0130806785571,-0.146846511469,4696,0.883259475328,children,Children,Model 3
contact_maintained_infrequent,Maintained infrequent vs maintained frequent,0.00420410276599,0.00590210309082,-0.00736678903713,0.0157749945691,0.712305885088,4696,0.476310767846,children,Children,Model 3
delta_x_increased,Loneliness change x increased contact,0.0247396924957,0.0182463871404,-0.0110317889831,0.0605111739745,1.35586800309,4696,0.175206365178,children,Children,Model 3
delta_x_decreased,Loneliness change x decreased contact,0.0352805379219,0.0158251859425,0.00425574701478,0.0663053288289,2.22939168298,4696,0.0258349715145,children,Children,Model 3
delta_x_maintained_infrequent,Loneliness change x maintained infrequent,0.00535616960876,0.014218599846,-0.0225189586088,0.0332312978264,0.376701620889,4696,0.706412377861,children,Children,Model 3
age_T2_centered,Age at T2 (per year; centered at 75),-0.00955423470343,0.000334447950219,-0.0102099096359,-0.00889855977092,-28.5671797276,4696,1.22559424077e-165,children,Children,Model 3
male,Male vs Female,0.0197913834282,0.00391530622439,0.0121155458494,0.027467221007,5.05487496864,4696,4.47042576607e-07,children,Children,Model 3
education,Education (years),-0.00226334864976,0.000706944335209,-0.00364929130234,-0.00087740599717,-3.2015938696,4696,0.00137580941082,children,Children,Model 3
race_black,Black/African American non-Hispanic vs White non-Hispanic,0.0135619320727,0.00633805239549,0.00113637504969,0.0259874890957,2.13976332577,4696,0.0324252902595,children,Children,Model 3
race_hispanic,Hispanic vs White non-Hispanic,0.012885075987,0.00780628427412,-0.00241890453154,0.0281890565055,1.65060296737,4696,0.0988865435622,children,Children,Model 3
race_other,Other non-Hispanic vs White non-Hispanic,0.0395937702708,0.0156390895136,0.00893381569597,0.0702537248457,2.53171837379,4696,0.0113828543621,children,Children,Model 3
wealth_ihs_T2,"IHS wealth at T2 (wealth/$100,000)",-0.000292220610509,0.00182332343879,-0.00386679020166,0.00328234898065,-0.160268114966,4696,0.872676767996,children,Children,Model 3
marital_separated_divorced,Separated/divorced vs married/partnered,0.0156669541583,0.00598054257224,0.00394228416146,0.0273916241552,2.61965431549,4696,0.0088302120715,children,Children,Model 3
marital_widowed,Widowed vs married/partnered,0.0196309265065,0.00455256794151,0.0107057569072,0.0285560961057,4.31205569223,4696,1.6505997784e-05,children,Children,Model 3
marital_never_married,Never married vs married/partnered,0.0514182256327,0.0138220472921,0.0243205265153,0.0785159247501,3.72001517185,4696,0.000201537768944,children,Children,Model 3
cohort_B,Cohort B vs Cohort A,-0.00568966710601,0.0035151463035,-0.0125810034524,0.00120166924039,-1.61861459375,4696,0.105597367728,children,Children,Model 3
